pmcid,doi,title,journal,pubdate,pub_year,criteria_era,article_type_inferred,included,exclusion_reason,num_patients,age_numeric,age_descriptive,age_original_quote,age_range_mapped,age_midpoint_for_analysis,age_group,age_unit_original,sex,has_eds,has_pots,has_mcas,has_mastocytosis,triad_present,diagnostic_criteria_cited,beighton_score,symptoms_detected,terminology_used,extraction_method,extraction_date,eds_subtype,has_heds,has_non_heds_eds,eds_negated
PMC12864418,10.3389/fpubh.2026.1724482,"Post-licensure safety surveillance of 9-valent human papillomavirus vaccine using the vaccine adverse event reporting system, 2014-2024.",Front Public Health,2026,2026,post-2017 (2017 international classification),case_report,True,,66,9,,Food and Drug Administration (FDA) in December 2014 for use in females aged 9 through 26 years and males aged 9 through 15 years for the prevention of cancers and genital warts caused by the targeted HPV types (1).,,9,childhood (5-11),years,female,False,True,True,False,False,Brighton,,chronic_pain; tachycardia; syncope; anaphylaxis; fatigue; headache_migraine; neuropathy,POTS; postural tachycardia syndrome; dysautonomia; mast cell activation syndrome,rule_based_v3,2026-04-16T20:48:13.360039,,False,False,False
PMC12813278,10.1016/j.crwh.2025.e00778,Autoimmune syndrome induced by adjuvants (ASIA) following urethral sling placement: A case report.,Case Rep Womens Health,2026 Mar,2026,post-2017 (2017 international classification),animal_study,True,,4479,39,,A 39-year-old woman developed debilitating systemic symptoms following the placement of a synthetic mid-urethral sling for stress urinary incontinence.,,39,adult (30-44),years,female,False,True,False,False,False,,,chronic_pain; tachycardia; fatigue; neuropathy; brain_fog,POTS; postural tachycardia syndrome,rule_based_v3,2026-04-16T20:48:13.376447,,False,False,False
PMC13062802,10.21037/acr-2025-207,A successful treatment of urticaria pigmentosa with omalizumab in a pediatric patient: a case report.,AME Case Rep,2026,2026,post-2017 (2017 international classification),review_or_study,True,,1,14,,"Case DescriptionWe report a 14-year-old Middle Eastern female with a 1-year history of intensely pruritic, hyperpigmented macules significantly impacting her quality of life.",,14,adolescent (12-17),years,female,False,False,True,True,False,,,urticaria; anaphylaxis; fatigue; palpitations,MCAD; mast cell activation syndrome; mastocytosis,rule_based_v3,2026-04-16T20:48:24.768329,,False,False,False
PMC13019796,10.12659/AJCR.951085,Management Strategy for Anaphylaxis in a Patient With Suspected or Confirmed Mastocytosis: A Case Report.,Am J Case Rep,2026 Mar 22,2026,post-2017 (2017 international classification),clinical_study,True,,9,31,,"Patient: Female, 31-year-old

Final Diagnosis: Anaphylaxis

Symptoms: Hypotension

Clinical Procedure: -

Specialty: Anesthesiology • Critical Care Medicine

Objective: Unusual clinical course
BackgroundAnaphylaxis is a severe, systemic hypersensitivity reaction that poses a potential threat to life...",,31,adult (30-44),years,female,False,False,True,True,False,,,tachycardia; syncope; flushing; urticaria; anaphylaxis; gi_symptoms; headache_migraine,MCAS; MCAD; mast cell activation syndrome; mastocytosis,rule_based_v3,2026-04-16T20:48:24.831105,,False,False,False
PMC12981734,10.7759/cureus.103302,Recurrent Cyclic Vomiting and Gastroparesis-Like Symptoms in a Patient With Mast Cell Activation Syndrome (MCAS): A Case of Gastrointestinal-Predominant MCAS.,Cureus,2026 Feb,2026,post-2017 (2017 international classification),case_report,True,,1,36,,"Thus, we present a case of a 36-year-old male with MCAS who presented with acute, intractable nausea, vomiting, and left-sided back pain.",,36,adult (30-44),years,male,False,False,True,True,False,,,tachycardia; flushing; urticaria; anaphylaxis; gi_symptoms; headache_migraine,MCAS; mast cell activation syndrome; mastocytosis,rule_based_v3,2026-04-16T20:48:24.852319,,False,False,False
PMC12971857,10.1007/s11882-026-01262-9,Hereditary Alpha-Tryptasemia and Mastocytosis: What We Know and What We Need To Learn.,Curr Allergy Asthma Rep,2026 Mar 9,2026,post-2017 (2017 international classification),clinical_study,True,,1,,child,"CM is the predominant form in children, typically presenting within the first year of life.",3-12 years,7.5,childhood (5-11),years,,False,True,True,True,False,MCAS consensus criteria,,joint_hypermobility; tachycardia; syncope; flushing; urticaria; anaphylaxis; fatigue; gi_symptoms; headache_migraine,JHS; POTS; postural tachycardia syndrome; MCAS; MCAD; mast cell activation syndrome; mastocytosis,rule_based_v3,2026-04-16T20:48:25.142793,,False,False,False
PMC12922065,10.3390/neurosci7010027,Moyamoya Vasculopathy and Atypical Moyamoya-like Patterns: Insights into Diagnosis and Therapeutic Implications.,NeuroSci,2026 Feb 15,2026,post-2017 (2017 international classification),review_or_study,True,,1,6,,"Management is pattern-specific: MMS and atypical forms are generally managed conservatively, whereas MMD frequently requires surgical revascularization, particularly in children and symptomatic adults.",,6,childhood (5-11),years,male,False,False,True,False,False,,,headache_migraine,MCAS,rule_based_v3,2026-04-16T20:48:25.351708,,False,False,False
PMC12790910,10.3340/jkns.2025.0059,Twig-Like Middle Cerebral Artery : Acquired Lesion Rather than Congenital Anomaly.,J Korean Neurosurg Soc,2026 Jan,2026,post-2017 (2017 international classification),case_report,True,,9875,65,,Case 1 : recurrent basal ganglia intracerebral hemorrhage caused by microaneurysmA 65-year-old woman presented to the emergency department with right-sided hemiplegia.,,65,older adult (60-74),years,female,False,False,True,False,False,,,,MCAS,rule_based_v3,2026-04-16T20:48:25.867053,,False,False,False
PMC12741381,10.1016/j.jdcr.2025.10.067,A probable case of hyaluronic acid injection-induced MAST cell activation syndrome with refractory vasoplegia: A rare complication reversed with hyaluronidase.,JAAD Case Rep,2026 Jan,2026,post-2017 (2017 international classification),case_report,True,,1,43,,"Case reportA 43-year-old female received an HA-filler injection for the first time, with 2 mL Restylane Defyne and 3 ml Restylane Lyft administered in the malar area, zygomatic arch, chin, and mandibular arch.",,43,adult (30-44),years,female,False,True,True,True,False,,,tachycardia; syncope; flushing; urticaria; anaphylaxis; gi_symptoms; headache_migraine,postural tachycardia syndrome; MCAS; mast cell activation syndrome; mastocytosis,rule_based_v3,2026-04-16T20:48:26.028207,,False,False,False
PMC13062037,10.1111/nmo.70305,Gastrointestinal Symptoms and Systemic Comorbidities in Patients With POTS: A Systematic Review and Meta-Analysis.,Neurogastroenterol Motil,2026 Apr,2026,post-2017 (2017 international classification),clinical_study,True,,5215,,child,"It is defined as a clinical syndrome lasting at least 6 months characterized by an increase in heart rate of ≥ 30 beats/min (or ≥ 40 beats/min or more in children), often with a standing heart rate of > 120 beats/min, within 10 min of standing in adults or head-up tilt (HUT), and in the absence of o...",3-12 years,7.5,childhood (5-11),years,,True,True,True,False,True,,,joint_hypermobility; chronic_pain; orthostatic_intolerance; tachycardia; syncope; fatigue; gi_symptoms; headache_migraine; palpitations,hEDS; hypermobile EDS; JHS; POTS; postural tachycardia syndrome; dysautonomia; MCAS; mast cell activation syndrome,rule_based_v3,2026-04-16T20:48:48.212172,hEDS_HSD,True,False,False
PMC12942574,10.3390/jcm15041626,Patient Characteristics of a Telemedicine Clinic for Pediatric and Young Adult Postural Orthostatic Tachycardia Syndrome.,J Clin Med,2026 Feb 20,2026,post-2017 (2017 international classification),clinical_study,True,,277,23,,"Patients up through the age of 23 years were evaluated, either diagnosing or confirming a diagnosis of POTS, and identifying other symptoms and diagnoses.",,23,young adult (18-29),years,female,True,True,True,False,True,Beighton; MCAS consensus criteria,0,joint_hypermobility; orthostatic_intolerance; tachycardia; flushing; urticaria; gi_symptoms; headache_migraine; palpitations,hEDS; hypermobile EDS; JHS; HSD; POTS; postural tachycardia syndrome; dysautonomia; MCAS; mast cell activation syndrome,rule_based_v3,2026-04-16T20:48:48.264924,hEDS_HSD,True,False,False
PMC12615188,10.3389/fneur.2025.1508176,Hypothesis paper: high prevalence of Tinel sign in hypermobile Ehlers-Danlos syndrome.,Front Neurol,2025,2025,post-2017 (2017 international classification),review_or_study,True,,1,,,,,,,years,,True,False,False,False,False,2017 international classification,,joint_hypermobility; subluxations_dislocations; chronic_pain; skin_hyperextensibility; neuropathy,EDS type III; hEDS; hypermobile EDS; JHS,rule_based_v3,2026-04-16T20:47:55.551247,hEDS_HSD,True,False,False
PMC12551611,10.7759/cureus.93109,Ehlers-Danlos Syndrome: A Tale of Two Cases Highlighting Rare Subtypes and Diagnostic Considerations.,Cureus,2025 Sep,2025,post-2017 (2017 international classification),case_report,True,,66,16,,Case presentationCase report oneA 16-year-old boy presented to the rheumatology outpatient department (OPD) with the chief complaint of a large swelling around the left knee following a trivial trauma that occurred one month before presentation at the hospital.,,16,adolescent (12-17),years,male,True,True,False,False,False,2017 international classification; Villefranche; Beighton,1,joint_hypermobility; subluxations_dislocations; chronic_pain; orthostatic_intolerance; tachycardia; syncope; skin_hyperextensibility; easy_bruising; fatigue; gi_symptoms,hEDS; hypermobile EDS; JHS; HSD; POTS; postural tachycardia syndrome; dysautonomia,rule_based_v3,2026-04-16T20:47:55.616395,hEDS_HSD,True,False,False
PMC12488752,10.1007/s00264-025-06632-y,Survival of anterior cruciate ligament  reconstruction in patients with Ehlers-Danlos syndrome: A comparison with anatomic risk factors in existing literature.,Int Orthop,2025 Oct,2025,post-2017 (2017 international classification),clinical_study,True,,21,4,,,,4,early childhood (1-4),years,male,True,False,False,False,False,Beighton,,joint_hypermobility; subluxations_dislocations; chronic_pain,EDS hypermobility type; hEDS; JHS,rule_based_v3,2026-04-16T20:47:55.835111,hEDS_HSD,True,False,False
PMC12465098,10.7759/cureus.90988,Exploring the Association Between Median Arcuate Ligament Syndrome and Hypermobile Ehlers-Danlos Syndrome: A Case Report.,Cureus,2025 Aug,2025,post-2017 (2017 international classification),case_report,True,,1,21,,Case presentationThe patient is a 21-year-old white female with a diagnosis of hEDS who initially presented in May 2022 with right upper quadrant (RUQ) abdominal pain worsened by food intake.,,21,young adult (18-29),years,female,True,True,False,False,False,2017 international classification; Beighton,,joint_hypermobility; chronic_pain; orthostatic_intolerance; tachycardia; syncope; skin_hyperextensibility; gi_symptoms,hEDS; hypermobile EDS; JHS; postural tachycardia syndrome,rule_based_v3,2026-04-16T20:47:55.892848,hEDS_HSD,True,False,False
PMC12420492,10.1192/j.eurpsy.2025.2134,Unraveling Reality : Complaints that became delusions aligned to Ehlers-Danlos Syndrome ended up with ECT - a case report.,Eur Psychiatry,2025 Apr,2025,post-2017 (2017 international classification),case_report,True,,1,42,,"ResultsA 42-year-old female patient,diagnosed with anxiety disorder 7 years prior, who has shown no remission and has experienced multiple hospital admissions over the past year due to various psychotic and depressive episodes, presented to our hospital with complaints that a “sorcerer” had cast spe...",,42,adult (30-44),years,female,True,False,False,False,False,,,,,rule_based_v3,2026-04-16T20:47:55.922228,EDS_unspecified,True,False,False
PMC12409755,10.7759/cureus.89400,Anesthetic Management of a Pregnant Patient With Ehlers-Danlos Syndrome Undergoing Elective Cesarean Delivery: A Case Report.,Cureus,2025 Aug,2025,post-2017 (2017 international classification),case_report,True,,1,36,,"We present the case of a 36-year-old woman with classical EDS (cEDS) and multiple comorbidities, including postural orthostatic tachycardia syndrome, bronchial asthma, congenital adrenal hypoplasia, and chronic venous thrombosis, who underwent an elective cesarean section.",,36,adult (30-44),years,female,True,True,False,False,False,,,joint_hypermobility; subluxations_dislocations; chronic_pain; tachycardia; skin_hyperextensibility,hEDS; hypermobile EDS; JHS; POTS; postural tachycardia syndrome; dysautonomia,rule_based_v3,2026-04-16T20:47:55.943840,vascular_EDS,False,True,False
PMC12276532,10.1016/j.asmr.2025.101120,Double-Allograft Shoulder Stabilization for Multidirectional Instability Is Associated With Improved Function and Survivability After 2 Years.,Arthrosc Sports Med Rehabil,2025 Jun,2025,post-2017 (2017 international classification),clinical_study,True,,43,,,,,,,years,male,True,False,False,False,False,Beighton,2,joint_hypermobility; subluxations_dislocations; orthostatic_intolerance; skin_hyperextensibility,,rule_based_v3,2026-04-16T20:47:56.285975,hEDS_HSD,True,False,False
PMC12200703,10.1371/journal.pone.0325709,Characterizing the content and quality of internet resources on exercise training in Ehlers-Danlos Syndromes and generalized hypermobility spectrum disorder.,PLoS One,2025,2025,post-2017 (2017 international classification),case_report,True,,1,,,The second study interviewed 6 young adults with joint hypermobility and chronic pain to explore their internet use and experiences [24].,,,,years,,True,True,False,False,False,2017 international classification,,joint_hypermobility; subluxations_dislocations; chronic_pain; skin_hyperextensibility; fatigue,HSD; dysautonomia,rule_based_v3,2026-04-16T20:47:56.466032,hEDS_HSD,True,False,False
PMC12047577,10.1016/j.xrrt.2024.11.001,Recurrent elbow instability in a patient with Ehlers-Danlos syndrome treated with soft tissue reconstruction: case report.,JSES Rev Rep Tech,2025 May,2025,post-2017 (2017 international classification),case_report,True,,60,10,,The first episode of dislocation of the right elbow occurred when she was 10 year old; three years later she was diagnosed with EDS.,,10,childhood (5-11),years,female,True,False,False,False,False,,,joint_hypermobility; subluxations_dislocations; chronic_pain; skin_hyperextensibility,JHS,rule_based_v3,2026-04-16T20:47:56.643669,hEDS_HSD,True,False,False
PMC11905011,10.1002/acr2.70024,UK Medical Cannabis Registry: An Analysis of Outcomes of Medical Cannabis Therapy for Hypermobility-Associated Chronic Pain.,ACR Open Rheumatol,2025 Mar,2025,post-2017 (2017 international classification),clinical_study,True,,161,,,"2
 Furthermore, hypermobility is more common and severe in women and children, suggesting both age and gender specificity.",,,,years,,True,False,False,False,False,,,joint_hypermobility; subluxations_dislocations; chronic_pain; skin_hyperextensibility; fatigue; gi_symptoms; headache_migraine; neuropathy,hEDS; hypermobile EDS; HSD,rule_based_v3,2026-04-16T20:47:56.999721,hEDS_HSD,True,False,False
PMC11841416,10.3389/fmed.2025.1514349,A case of massive hematoma: reflections on hypermobile Ehlers-Danlos syndrome.,Front Med (Lausanne),2025,2025,post-2017 (2017 international classification),case_report,True,,1,18,,"Feature of criterion C cannot be counted in this situation
 2Case presentationAn 18-year-old male presented with minor hemoptysis lasting 8 h.",,18,young adult (18-29),years,male,True,True,True,False,True,2017 international classification; Villefranche; Beighton,,joint_hypermobility; subluxations_dislocations; chronic_pain; orthostatic_intolerance; tachycardia; flushing; urticaria; skin_hyperextensibility; fatigue; gi_symptoms; mitral_valve_prolapse,hEDS; hypermobile EDS; JHS; HSD; POTS; postural tachycardia syndrome; MCAD,rule_based_v3,2026-04-16T20:47:57.465096,hEDS_HSD,True,False,False
PMC11829448,10.1186/s13023-025-03550-5,Rates of mental health concerns among individuals assessed at the GoodHope Ehlers-Danlos Syndrome Clinic.,Orphanet J Rare Dis,2025 Feb 14,2025,post-2017 (2017 international classification),clinical_study,True,,1035,,,,,,,years,female,True,False,False,False,False,2017 international classification; Beighton,4,joint_hypermobility; subluxations_dislocations; chronic_pain; orthostatic_intolerance; skin_hyperextensibility; fatigue,hEDS; hypermobile EDS; JHS; HSD; dysautonomia,rule_based_v3,2026-04-16T20:47:57.668443,hEDS_HSD,True,False,False
PMC11650402,10.1111/nmo.14957,"A machine learning approach to stratify patients with hypermobile Ehlers-Danlos syndrome/hypermobility spectrum disorders according to disorders of gut brain interaction, comorbidities and quality of life.",Neurogastroenterol Motil,2025 Jan,2025,post-2017 (2017 international classification),case_report,True,,26,,,,,,,years,female,True,True,False,False,False,2017 international classification; Villefranche; Brighton; Beighton,,joint_hypermobility; chronic_pain; tachycardia; syncope; gi_symptoms; headache_migraine; palpitations,EDS hypermobility type; hEDS; hypermobile EDS; JHS; HSD; POTS; postural tachycardia syndrome; dysautonomia,rule_based_v3,2026-04-16T20:47:58.728791,hEDS_HSD,True,False,False
PMC12802868,10.1016/j.jaccas.2025.106326,Tirzepatide and Autonomic Dysfunction: Insights From Postural Orthostatic Tachycardia Syndrome.,JACC Case Rep,2025 Dec 17,2025,post-2017 (2017 international classification),case_report,True,,1,,,,,,,years,,False,True,False,False,False,,,tachycardia,POTS; postural tachycardia syndrome,rule_based_v3,2026-04-16T20:48:13.395751,,False,False,False
PMC12793844,10.1016/j.jaccas.2025.105430,Exacerbation of Postural Orthostatic Tachycardia Syndrome With Tirzepatide Prescribed for Weight Loss.,JACC Case Rep,2025 Oct 15,2025,post-2017 (2017 international classification),case_report,True,,1,28,,Case SummaryPOTS was exacerbated in a 28-year-old woman with obesity after using tirzepatide for weight reduction.,,28,young adult (18-29),years,female,False,True,False,False,False,MCAS consensus criteria,,orthostatic_intolerance; tachycardia; syncope; gi_symptoms; palpitations,POTS; postural tachycardia syndrome,rule_based_v3,2026-04-16T20:48:13.403645,,False,False,False
PMC12711217,10.36660/abc.20250347,Use of Ivabradine in the Treatment of Patients with Postural Orthostatic Tachycardia Syndrome (POTS): A Systematic Review.,Arq Bras Cardiol,2025 Nov,2025,post-2017 (2017 international classification),review_or_study,True,,1,,,"Ivabradine in children with POTS: a retrospective study
Towheed et al.",,,,years,,True,True,False,False,False,,,tachycardia,POTS; postural tachycardia syndrome,rule_based_v3,2026-04-16T20:48:13.535678,EDS_mentioned_but_excluded,False,False,True
PMC12743803,10.1177/20420986251395925,Complex chronic adverse events following immunization: a systemic critique and reform proposal for vaccine pharmacovigilance.,Ther Adv Drug Saf,2025,2025,post-2017 (2017 international classification),clinical_study,True,,21,,adolescent,"84
 A frequently cited example comes from El Carmen de Bolívar, a rural town in northern Colombia, where hundreds of adolescent girls developed acute and chronic, multisystem symptoms following a school-based HPV vaccination campaign.",12-18 years,15,adolescent (12-17),years,female,False,True,False,False,False,Brighton; 2015 POTS consensus,,chronic_pain; orthostatic_intolerance; tachycardia; syncope; anaphylaxis; fatigue; neuropathy; palpitations,POTS; postural tachycardia syndrome; dysautonomia,rule_based_v3,2026-04-16T20:48:14.387424,,False,False,False
PMC12736109,10.3390/ph18121827,Disproportionality Analysis of Adverse Events Associated with IL-1 Inhibitors in the FDA Adverse Event Reporting System (FAERS).,Pharmaceuticals (Basel),2025 Dec 1,2025,post-2017 (2017 international classification),clinical_study,True,,670,5,,"As the first approved IL-1 inhibitor (2001), anakinra remains a basic drug for the treatment of refractory RA and neonatal multi-system inflammatory diseases through inhibiting the binding of IL-1α/β to receptors [5].",,5,childhood (5-11),years,female,False,True,False,False,False,MCAS consensus criteria,,tachycardia; urticaria; medication_sensitivity,POTS; postural tachycardia syndrome,rule_based_v3,2026-04-16T20:48:14.490720,,False,False,False
PMC12714501,10.1016/j.jaccas.2025.105773,Autonomic Dysfunction and Postural Orthostatic Tachycardia Syndrome Secondary to Abuse.,JACC Case Rep,2025 Nov 26,2025,post-2017 (2017 international classification),case_report,True,,1,20,,"Case 1A 20-year-old woman with a history of hypermobile Ehlers-Danlos syndrome, seizure disorder, and POTS presented to the cardiology clinic for evaluation.",,20,young adult (18-29),years,female,True,True,False,False,False,,,orthostatic_intolerance; tachycardia; syncope; fatigue; gi_symptoms; headache_migraine; palpitations,hypermobile EDS; POTS; postural tachycardia syndrome; dysautonomia,rule_based_v3,2026-04-16T20:48:14.497416,EDS_mentioned_but_excluded,False,False,True
